abilities;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;attack;defense;hp;name;pokedex_number;sp_attack;sp_defense;speed;type1;type2;generation;is_legendary;developers_favourite;design_date;shiny_rate;catch_routes
['Overgrow', 'Chlorophyll'];1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;49;49;45;Bulbasaur;1;65;65;45;grass;poison;1;0;false;1995- 5- 4;1.5; 9  4 2 22
['Overgrow', 'Chlorophyll'];1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;62;63;60;Ivysaur;2;80;80;60;grass;poison;1;0;true;1990- 5-22;1.5;11  5 2 22
['Overgrow', 'Chlorophyll'];1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5;82;83;80;Venusaur;3;100;100;80;grass;poison;1;0;true;1995- 4-12;1.5; 7 14 2 22
['Blaze', 'Solar Power'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;52;43;39;Charmander;4;60;50;65;fire;;1;0;true;1991-12- 8;0.5; 5 28 2 22
['Blaze', 'Solar Power'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;64;58;58;Charmeleon;5;80;65;80;fire;;1;0;false;1990-10- 6;0.5; 4 27 2 22
['Blaze', 'Solar Power'];0.25;1;1;2;0.5;0.5;0.5;1;1;0.25;0;1;1;1;1;4;0.5;2;84;78;78;Charizard;6;1 9;85;100;fire;flying;1;0;false;1995- 4-17;0.25; 3 23 2 22
['Torrent', 'Rain Dish'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;48;65;44;Squirtle;7;50;64;43;water;;1;0;true;1991-11-29;1.5; 6 10 2 22
['Torrent', 'Rain Dish'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;63;80;59;Wartortle;8;65;80;58;water;;1;0;false;1993- 8-30;1.5; 4  1 2 22
['Torrent', 'Rain Dish'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;83;100;79;Blastoise;9;85;1 5;78;water;;1;0;true;1991- 3- 8;1.5;11 22 2 22
['Shield Dust', 'Run Away'];1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;30;35;45;Caterpie;10;20;20;45;bug;;1;0;false;1993- 4-29;1.5; 6 23 2 22
['Shed Skin'];1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;20;55;50;Metapod;11;25;25;30;bug;;1;0;true;1992-10- 7;1.5; 8 31 2 22
['Compoundeyes', 'Tinted Lens'];0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;45;50;60;Butterfree;12;90;80;70;bug;flying;1;0;true;1995-11-16;0.5; 4 27 2 22
['Shield Dust', 'Run Away'];0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;35;30;40;Weedle;13;20;20;50;bug;poison;1;0;true;1993-11-14;0.5; 4  6 2 22
['Shed Skin'];0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;25;50;45;Kakuna;14;25;25;35;bug;poison;1;0;true;1992- 5-18;0.5;10 14 2 22
['Swarm', 'Sniper'];0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;90;40;65;Beedrill;15;45;80;75;bug;poison;1;0;false;1994- 2- 9;0.5; 8  4 2 22
['Keen Eye', 'Tangled Feet', 'Big Pecks'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;45;40;40;Pidgey;16;35;35;56;normal;flying;1;0;false;1993- 4-16;0.5; 3  4 2 23
['Keen Eye', 'Tangled Feet', 'Big Pecks'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;60;55;63;Pidgeotto;17;50;50;71;normal;flying;1;0;false;1991- 3-26;0.5; 5  7 2 22
['Keen Eye', 'Tangled Feet', 'Big Pecks'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;80;75;83;Pidgeot;18;70;70;1 1;normal;flying;1;0;false;1994- 3-29;0.5; 6 12 2 22
['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;56;35;30;Rattata;19;25;35;72;normal;dark;1;0;true;1992- 7-16;1.5; 6 17 2 22
['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;71;70;75;Raticate;20;40;80;77;normal;dark;1;0;true;1994- 5-16;1.5;12 17 2 22
['Keen Eye', 'Sniper'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;60;30;40;Spearow;21;31;31;70;normal;flying;1;0;false;1991- 4-13;0.5; 2  8 2 23
['Keen Eye', 'Sniper'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;90;65;65;Fearow;22;61;61;100;normal;flying;1;0;true;1995- 3-24;0.5; 9 14 2 22
['Intimidate', 'Shed Skin', 'Unnerve'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;60;44;35;Ekans;23;40;54;55;poison;;1;0;true;1990-10- 6;0.5; 2 11 2 23
['Intimidate', 'Shed Skin', 'Unnerve'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;95;69;60;Arbok;24;65;79;80;poison;;1;0;false;1995- 8-17;0.5; 8  9 2 22
['Static', 'Lightningrod'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;55;40;35;Pikachu;25;50;50;90;electric;;1;0;true;1993- 5-13;1.5;11 22 2 22
['Static', 'Lightningrod', 'Surge Surfer'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;85;50;60;Raichu;26;95;85;110;electric;electric;1;0;true;1990- 4-21;1.5;12  3 2 22
['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush'];1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;75;90;50;Sandshrew;27;10;35;40;ground;ice;1;0;true;1991- 1- 7;1.5; 5 16 2 22
['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush'];1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;100;120;75;Sandslash;28;25;65;65;ground;ice;1;0;false;1995- 1-11;1.5; 8 31 2 22
['Poison Point', 'Rivalry', 'Hustle'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;47;52;55;Nidoran♀;29;40;40;41;poison;;1;0;false;1993-10-13;0.5;10 16 2 22
['Poison Point', 'Rivalry', 'Hustle'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;62;67;70;Nidorina;30;55;55;56;poison;;1;0;false;1991- 2- 1;0.5; 5 29 2 22
['Poison Point', 'Rivalry', 'Sheer Force'];0.5;1;1;0;0.5;0.5;1;1;1;1;2;2;1;0.25;2;0.5;1;2;92;87;90;Nidoqueen;31;75;85;76;poison;ground;1;0;false;1991-10-18;0.5;12 29 2 22
['Poison Point', 'Rivalry', 'Hustle'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;57;40;46;Nidoran♂;32;40;40;50;poison;;1;0;true;1992- 6-15;0.5; 6 11 2 22
['Poison Point', 'Rivalry', 'Hustle'];0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1;72;57;61;Nidorino;33;55;55;65;poison;;1;0;true;1991- 6-19;0.5; 9 12 2 22
['Poison Point', 'Rivalry', 'Sheer Force'];0.5;1;1;0;0.5;0.5;1;1;1;1;2;2;1;0.25;2;0.5;1;2;1 2;77;81;Nidoking;34;85;75;85;poison;ground;1;0;true;1993- 1- 3;0.5; 8 14 2 22
['Cute Charm', 'Magic Guard', 'Friend Guard'];0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;45;48;70;Clefairy;35;60;65;35;fairy;;1;0;false;1990- 8- 3;0.5; 3 31 2 22
['Cute Charm', 'Magic Guard', 'Unaware'];0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;70;73;95;Clefable;36;95;90;60;fairy;;1;0;true;1994- 1-17;0.5; 2 13 2 23
['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;41;40;38;Vulpix;37;50;65;65;fire;ice;1;0;true;1994- 1- 8;0.5;10 21 2 22
['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;67;75;73;Ninetales;38;81;100;1 9;fire;ice;1;0;false;1993-12-10;0.5; 5  7 2 22
['Cute Charm', 'Competitive', 'Friend Guard'];0.5;0.5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1;45;20;115;Jigglypuff;39;45;25;20;normal;fairy;1;0;false;1992-10-27;0.5; 8 23 2 22
['Cute Charm', 'Competitive', 'Frisk'];0.5;0.5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1;70;45;140;Wigglytuff;40;85;50;45;normal;fairy;1;0;true;1992- 7-10;0.5; 9  2 2 22
['Inner Focus', 'Infiltrator'];0.25;1;1;2;0.5;0.25;1;1;1;0.25;0;2;1;0.5;2;2;1;1;45;35;40;Zubat;41;30;40;55;poison;flying;1;0;true;1991- 7-12;0.25; 7  4 2 22
